,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Latitude_Longitude,New Station Name
163,ESI BASAI DARAPUR,10.2,Pink,2018-03-14,Elevated,28.6580737,77.1272678,28.6580737 77.1272678,ESI - Basaidarapur
164,Indraprastha,33.4,Blue,2006-11-11,Elevated,28.62051,77.24993,28.62051 77.24993,Indraprastha
165,Guru Tegh Bahadur Nagar,9.0,Yellow,2009-04-02,Underground,28.69785,77.20722,28.69785 77.20722,Mahatma Gandhi Marg
166,Guru Dronacharya,40.9,Yellow,2010-06-21,Elevated,28.48203,77.10232,28.48203 77.10232,Mehrauli Gurgaon Road
167,Sector 42-43,3.9,Rapid Metro,2017-04-25,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
168,Nehru Enclave,22.1,Magenta,2018-05-29,Underground,28.5460584,77.2515057,28.5460584 77.2515057,Nehru Enclave
169,Mohan Estate,23.3,Voilet,2011-01-14,Elevated,28.51938,77.29388,28.51938 77.29388,Mohan Estate Metro Parking
170,Okhla Vihar,26.6,Magenta,2017-12-25,Elevated,28.5613002,77.2919304,28.5613002 77.2919304,Okhla Vihar
171,Shahdara,12.5,Red,2002-12-24,Elevated,28.67345,77.28962,28.67345 77.28962,Makki Sarai Railway Road
172,Dhaula Kuan [Conn: Pink],8.3,Orange,2011-08-15,Elevated,28.59178,77.16155,28.59178 77.16155,Dhaula Kuan
173,Jaffrabad,48.0,Pink,2018-10-31,Elevated,28.6826822,77.2748055,28.6826822 77.2748055,Jaffrabad
174,Rohini West,31.7,Red,2004-03-31,Elevated,28.71483,77.11467,28.71483 77.11467,Doctor Baba Saheb Ambedkar Hospital
175,Palam,4.6,Magenta,2018-05-29,Underground,28.5918933,77.0828242,28.5918933 77.0828242,Palam Village
176,Shyam park,4.5,Red,2019-08-03,Elevated,28.6988072,28.6988072,28.6988072 28.6988072,الجيزة
177,Vaishali,8.1,Blue branch,2011-07-14,Elevated,28.64997,77.33974,28.64997 77.33974,Vaishali Metro Station Parking
178,Jahangirpuri,3.4,Yellow,2009-04-02,Elevated,28.72592,77.16267,28.72592 77.16267,Jahangirpuri
179,Badarpur Border,26.3,Voilet,2011-01-14,Elevated,28.49334,77.30307,28.49334 77.30307,Badarpur
180,ITO,5.0,Voilet,2015-08-06,Underground,28.6305091,77.2414363,28.6305091 77.2414363,ITO Metro Gate No. 4
181,Badkal Mor,34.2,Voilet,2015-06-09,Elevated,28.422814,77.310278,28.422814 77.310278,Sector 19
182,Naraina Vihar,14.3,Pink,2018-03-14,Underground,28.6273375,77.1403175,28.6273375 77.1403175,Naraina Vihar
183,Rajdhani Park,12.4,Green,2010-02-04,Elevated,28.68221,77.04381,28.68221 77.04381,Rohtak Road
184,Sikandarpur [Conn: Rapid],41.9,Yellow,2010-06-21,Elevated,28.48182,77.09235,28.48182 77.09235,Sector 25
185,Maharaja Surajmal Stadium,9.5,Green,2010-02-04,Elevated,28.6818,77.07385,28.6818 77.07385,Rohtak Road
186,Punjabi Bagh,2.3,Green,2010-02-04,Elevated,28.67289,77.14614,28.67289 77.14614,Rohtak Road
187,Depot Greater Noida,27.1,Aqua,2019-01-25,Elevated,28.474388,77.50399,28.474388 77.50399,Greater Noida
188,Trilokpuri Sanjay Lake,37.9,Pink,2018-10-31,Elevated,28.613453,77.3088549,28.613453 77.3088549,Trilokpuri Sanjay Lake
189,Dwarka Sector 11,4.8,Blue,2006-01-04,Elevated,28.58657,77.04929,28.58657 77.04929,Dwarka Sector 11
190,Anand Vihar [Conn: Blue],41.9,Pink,2018-10-31,Elevated,28.6467533,77.3180037,28.6467533 77.3180037,Anand Vihar ISBT
191,IFFCO Chowk,44.2,Yellow,2010-06-21,Elevated,28.47209,77.07175,28.47209 77.07175,August Kranti Marg
192,Rajiv Chowk [Conn: Blue],17.2,Yellow,2005-03-07,Underground,28.63282,77.21826,28.63282 77.21826,Rajiv Chowk Metro Gate No 8
193,Greater Kailash,20.8,Magenta,2018-05-29,Underground,28.5418777,77.2384553,28.5418777 77.2384553,Greater Kailash
194,Moulsari Avenue,9.2,Rapid Metro,2013-11-14,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
195,Kashmere Gate [Conn: Violet],13.2,Yellow,2004-12-20,Underground,28.6675,77.22817,28.6675 77.22817,Kashmere Gate
196,Ashok Park Main,0.0,Green branch,2010-02-04,Elevated,28.67292,77.1442,28.67292 77.1442,Railway Colony
197,South Extension,26.1,Pink,2018-06-08,Underground,28.6517178,77.2219388,28.6517178 77.2219388,Ballimaran
198,DLF Phase 2,7.3,Rapid Metro,2013-11-14,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
